Time	Channel A
(ns)	(V)

-205.88888884	0.00000000
-205.38888885	0.00000000
-204.88888886	0.00000000
-204.38888888	0.00000000
-203.88888889	0.00000000
-203.38888891	0.00000000
-202.88888892	0.00000000
-202.38888894	0.00000000
-201.88888895	0.00000000
-201.38888896	0.00000000
-200.88888898	0.00000000
-200.38888899	0.00000000
-199.88888901	0.00000000
-199.38888902	0.00000000
-198.88888903	0.00000000
-198.38888905	0.00000000
-197.88888906	0.00000000
-197.38888908	0.00000000
-196.88888909	0.00000000
-196.38888910	0.00000000
-195.88888912	0.00000000
-195.38888913	0.00000000
-194.88888915	0.00000000
-194.38888916	0.00000000
-193.88888918	0.00000000
-193.38888919	0.00000000
-192.88888920	0.00000000
-192.38888922	0.00000000
-191.88888923	0.00000000
-191.38888925	0.00000000
-190.88888926	0.00000000
-190.38888927	0.00000000
-189.88888929	0.00000000
-189.38888930	0.00000000
-188.88888932	0.00000000
-188.38888933	0.00000000
-187.88888935	0.00000000
-187.38888936	0.00000000
-186.88888937	0.00000000
-186.38888939	0.00000000
-185.88888940	0.00000000
-185.38888942	0.00000000
-184.88888943	0.00000000
-184.38888944	0.00000000
-183.88888946	0.00000000
-183.38888947	0.00000000
-182.88888949	0.00000000
-182.38888950	0.00000000
-181.88888951	0.00000000
-181.38888953	0.00000000
-180.88888954	0.00000000
-180.38888956	0.00000000
-179.88888957	0.00000000
-179.38888959	0.00000000
-178.88888960	0.00000000
-178.38888961	0.00000000
-177.88888963	0.00000000
-177.38888964	0.00000000
-176.88888966	0.00000000
-176.38888967	0.00000000
-175.88888968	0.00000000
-175.38888970	0.00000000
-174.88888971	0.00000000
-174.38888973	0.00000000
-173.88888974	0.00024606
-173.38888976	0.00135335
-172.88888977	-0.00412156
-172.38888978	-0.01599409
-171.88888980	-0.01599409
-171.38888981	-0.00412156
-170.88888983	0.00135335
-170.38888984	0.00024606
-169.88888985	0.00000000
-169.38888987	0.00000000
-168.88888988	0.00000000
-168.38888990	0.00000000
-167.88888991	0.00000000
-167.38888992	0.00000000
-166.88888994	0.00000000
-166.38888995	0.00000000
-165.88888997	0.00000000
-165.38888998	0.00000000
-164.88889000	0.00000000
-164.38889001	0.00000000
-163.88889002	0.00000000
-163.38889004	0.00000000
-162.88889005	0.00000000
-162.38889007	0.00000000
-161.88889008	0.00000000
-161.38889009	0.00000000
-160.88889011	0.00000000
-160.38889012	0.00000000
-159.88889014	0.00000000
-159.38889015	0.00000000
-158.88889017	0.00000000
-158.38889018	0.00000000
-157.88889019	0.00000000
-157.38889021	0.00000000
-156.88889022	0.00000000
-156.38889024	0.00000000
-155.88889025	0.00000000
-155.38889026	0.00000000
-154.88889028	0.00000000
-154.38889029	0.00000000
-153.88889031	0.00000000
-153.38889032	0.00000000
-152.88889034	0.00000000
-152.38889035	0.00000000
-151.88889036	0.00000000
-151.38889038	0.00000000
-150.88889039	0.00000000
-150.38889041	0.00000000
-149.88889042	0.00000000
-149.38889043	0.00000000
-148.88889045	0.00000000
-148.38889046	0.00000000
-147.88889048	0.00000000
-147.38889049	0.00000000
