0.000104, 31b0, 32a6
0.002803, 31a6, 3250
0.008013, 31a2, 31d2
0.010585, 3157, 2ff8
0.012161, 31b6, 32a6
0.015336, 31b8, 32dc
0.018447, 31a1, 327b
0.019985, 31a1, 3152
0.026741, 31b8, 32f3
0.029956, 31ad, 323c
0.032919, 31c3, 3205
0.035825, 3192, 30ae
0.038784, 31ab, 328e
0.041851, 31c4, 3310
0.044681, 31c0, 31e9
0.045864, 318c, 318f
0.049657, 318f, 325b
0.052755, 31e0, 32a0
0.054259, 315b, 2fd2
0.057498, 31ab, 32de
0.060540, 31aa, 32bc
0.061544, 31a8, 31d5
0.065261, 3196, 318a
0.068316, 31c3, 32d5
0.069454, 31b9, 32c3
0.072511, 31b3, 322d
0.081045, 31c0, 32f3
0.084231, 31b6, 32fc
0.087446, 31b0, 32b2
0.090899, 31b5, 32dd
0.093676, 319d, 3191
0.096719, 31d9, 32e0
0.100306, 3196, 324b
0.104178, 31a4, 3278
0.107690, 318d, 3178
0.118649, 319e, 32be
0.121617, 3192, 3073
0.124592, 319f, 31e8
0.127688, 31cd, 3281
0.128697, 31a1, 328c
0.132439, 31ac, 321f
0.137160, 31ab, 326f
0.141783, 31bd, 32e8
0.146520, 31bc, 32a2
0.151191, 31c1, 331c
0.154281, 3187, 318b
0.157591, 31a4, 323f
0.163660, 31a5, 31b7
0.168323, 31cb, 3306
0.173004, 31c7, 32da
0.176190, 31a0, 326b
0.180823, 31ad, 32c4
0.185515, 31b6, 31fb
0.188682, 31ad, 3267
0.193381, 31b1, 32d8
0.197986, 31af, 32c1
0.202682, 31b9, 32f2
0.207408, 3199, 32bf
0.208961, 317b, 2fc9
0.213740, 3191, 31f3
0.218400, 3190, 3251
0.223016, 3186, 312a
0.227636, 31b9, 32e4
0.229244, 31a8, 31b6
0.233941, 3191, 31e9
0.238708, 3162, 3171
0.243377, 31a7, 32b9
0.246454, 31b6, 3264
0.252650, 31b0, 32ed
0.255847, 31a4, 326e
0.258927, 31ae, 32cb
0.263648, 31ab, 32af
0.268314, 31a5, 3297
0.273009, 31b0, 32ad
0.276120, 31bb, 31cd
0.279222, 319d, 307f
0.283902, 31bb, 32f4
0.288631, 31d1, 332a
0.293254, 3197, 322d
0.296364, 31b1, 3271
0.301052, 31ad, 3254
0.304211, 31c8, 332a
0.308880, 31a0, 327d
0.313600, 31c1, 32c7
0.318268, 31cc, 331f
0.321399, 31b0, 3274
0.326065, 31bd, 3210
0.330736, 31ad, 32b8
0.335451, 31b0, 32d0
0.338593, 31af, 32e3
0.341701, 31aa, 32a3
0.346329, 31ad, 329d
0.351030, 315a, 30d5
0.355727, 3184, 30a4
0.360384, 31ad, 329f
0.361358, 31ae, 32b6
0.366061, 31bc, 3267
0.370720, 31b0, 3292
0.375439, 31ba, 32f5
0.380735, 31c7, 324d
0.385418, 3188, 30be
0.388648, 31b1, 3237
0.394709, 318a, 30ba
0.395720, 3199, 31c4
0.400375, 31b5, 32f4
