0.000067, 1c40, 37dc
0.006029, 1b6f, 3802
0.007509, 1aa9, 385a
0.010830, 1afc, 3842
0.013887, 1b0d, 3841
0.016982, 1a9a, 386d
0.023116, 1ac7, 385e
0.026330, 1b73, 3823
0.029508, 1ba2, 3811
0.032602, 1b9d, 3809
0.035616, 1ba5, 37fa
0.036702, 1b52, 37f7
0.040289, 1b57, 37de
0.043432, 1aec, 37d8
0.044562, 1ad4, 37b9
0.048176, 1ac1, 37a1
0.051294, 1af0, 377a
0.054224, 1bb0, 3744
0.055507, 1b40, 371c
0.058505, 1ac6, 36b0
0.061739, 1b73, 3677
0.065389, 1b48, 356f
0.068515, 1ba9, 30f8
0.070023, 1c38, 2ff6
0.081095, 1cc2, 315c
0.083252, 1d50, 29a6
0.085154, 1dd8, 21c2
0.087390, 1e6c, 20d4
0.089098, 1eee, 234a
0.092144, 1f84, 1dd7
0.095670, 2005, 1c54
0.099158, 209b, 3134
0.103139, 2125, 3133
0.106036, 21b7, 3182
0.109284, 2237, 30c7
0.112173, 22c7, 30b9
0.123119, 235a, 31b8
0.124093, 23db, 307c
0.127086, 247e, 3234
0.130022, 2506, 31a8
0.134652, 2582, 30fb
0.138714, 261f, 320d
0.143436, 26a7, 31ee
0.144967, 2743, 3258
0.149777, 27c1, 321f
0.154607, 2858, 3257
0.159181, 28bf, 30f1
0.163812, 297f, 3264
0.168465, 2a00, 3232
0.169988, 2a8e, 326e
0.174774, 2b0b, 3229
0.179424, 2b99, 3125
0.184069, 2c3c, 32f4
0.188766, 2c92, 31b2
0.193372, 2d41, 317e
0.194891, 2dcc, 3292
0.199714, 2e5d, 317d
0.204397, 2ee8, 3290
0.208968, 2f7c, 314d
0.212158, 3006, 326f
0.216859, 3043, 2fbf
0.221612, 312c, 32f2
0.224712, 3194, 3189
0.229418, 3119, 3235
0.233965, 30a0, 3264
0.237126, 3004, 325a
0.241849, 2f8c, 32f7
0.245026, 2f08, 3204
0.249680, 2e67, 3254
0.254367, 2dd6, 3276
0.259038, 2d5f, 329e
0.263746, 2ca5, 317a
0.266812, 2c1f, 3198
0.269987, 2b9e, 319e
0.276296, 2b0b, 3103
0.280907, 2a81, 3155
0.284055, 29ee, 30df
0.287143, 296e, 30f0
0.291846, 28f7, 31ea
0.296525, 2856, 2f5e
0.301176, 27d7, 2fe0
0.305815, 2737, 2e3a
0.306797, 26ad, 2e32
0.312109, 2623, 2d4a
0.316833, 2597, 2d70
0.321518, 2502, 2ad9
0.324631, 247b, 2b4c
0.329296, 23ea, 27c9
0.332447, 2364, 2759
0.337191, 22cb, 25f7
0.341764, 2248, 24e1
0.346491, 21b4, 2290
0.351174, 212e, 2162
0.355802, 209d, 1f52
0.357418, 2018, 21aa
0.362120, 1f81, 1929
0.366843, 1efb, 1fb6
0.371491, 1e6d, 263c
0.376173, 1de4, 29fb
0.379240, 1d5f, 2f00
0.382488, 1cc0, 2b68
0.387104, 1c3c, 31cd
0.391804, 1bbb, 339d
0.396486, 1bda, 3643
0.401172, 1ba0, 3693
0.407249, 1ae9, 36b8
0.408327, 1ac5, 3701
0.409330, 1aa3, 3740
0.410284, 1aab, 3770
0.420700, 1a9e, 379b
0.425350, 1b07, 37ae
0.430887, 1b44, 37c5
0.435452, 1bf7, 37ca
0.438601, 1bef, 37df
0.441712, 1bb1, 37ef
0.446454, 1b2d, 3819
0.451070, 1af5, 3833
0.454274, 1b6b, 3818
0.457317, 1b52, 3824
0.462050, 1ada, 384b
0.466733, 1b35, 3829
0.471409, 1b82, 37fd
0.476065, 19dd, 3899
0.479095, 1b17, 381b
0.482325, 1b79, 37ee
0.486268, 1b16, 3810
0.489281, 1b2c, 3803
0.493424, 1b69, 37f2
0.501499, 1b05, 3818
0.505721, 1aef, 3829
0.508978, 1a90, 3855
0.513592, 19eb, 3894
0.518277, 1ac2, 3852
0.521393, 1b90, 3807
0.526072, 1b04, 383c
0.530899, 1b29, 382e
0.533888, 1b4f, 3812
0.538588, 1b61, 380b
0.541759, 1bb1, 37f0
0.546407, 1bb6, 37dd
0.551082, 1abd, 37f0
0.554226, 1b14, 37bf
0.557339, 1bd7, 379c
0.560480, 1b4e, 3787
0.563617, 1b8c, 3762
0.566688, 1b71, 373b
0.568195, 1ad8, 3702
0.571303, 1b82, 36dd
0.574543, 1c34, 36c4
0.577608, 1b67, 35b7
0.579121, 1bc4, 34ca
0.582425, 1c41, 32ec
0.585603, 1ccc, 3377
0.588561, 1d55, 297d
0.590075, 1ddc, 28ce
0.595293, 1e6a, 2539
0.598471, 1ef2, 1f95
0.601584, 1f84, 1fc0
0.604170, 2007, 1aa2
0.607251, 2099, 308a
0.610430, 211e, 30fd
0.613568, 21b6, 313b
0.616669, 2239, 3053
0.618255, 22ce, 3172
0.621437, 2352, 315c
0.624480, 23eb, 317c
0.627613, 2474, 31ba
0.629122, 2500, 3168
0.632293, 2599, 323c
0.635413, 2621, 31cc
0.638581, 26a1, 31d8
0.639570, 272d, 30fa
0.642637, 27bb, 3153
0.645793, 284f, 321e
0.649491, 28d6, 3224
0.652590, 2977, 3286
0.655668, 29e4, 3213
0.656646, 2a73, 31da
0.660364, 2b21, 321d
0.663523, 2b9c, 327e
0.664985, 2c2b, 325e
0.668259, 2c8f, 3076
0.671347, 2d4a, 328a
0.672880, 2dce, 32a1
0.676013, 2e59, 3241
0.679138, 2ed2, 30b5
0.680733, 2f77, 32fe
0.683823, 2ff8, 3233
0.686949, 3074, 3055
0.690012, 3111, 32b9
0.693168, 31ba, 329d
0.696290, 310d, 31fb
0.700198, 3085, 3261
0.703053, 2ffe, 321b
0.705973, 2f72, 3268
0.708757, 2ee3, 322e
0.711843, 2e61, 328e
0.713354, 2da8, 3141
0.716550, 2d3c, 313c
0.719677, 2cb6, 31d1
0.721222, 2c14, 31b2
0.724364, 2b99, 315e
0.727489, 2b16, 31f2
0.730433, 2a86, 30c4
0.731735, 29ef, 31ac
0.734768, 2969, 2fc8
0.738426, 28d3, 3004
0.739387, 2850, 2f3b
0.742414, 27ce, 2fc5
0.745390, 2740, 2fe8
0.748412, 26b1, 2db4
0.751400, 2609, 2ba6
0.754012, 259a, 2d31
0.756963, 2507, 2a30
0.758172, 2476, 2aa4
0.761399, 23e4, 28c0
0.764496, 235c, 27ff
0.768239, 22cd, 277b
0.771281, 224c, 279d
0.772867, 21b7, 2399
0.775984, 2130, 248b
0.779118, 2098, 1e18
0.782221, 2016, 17b4
0.783792, 1f82, 16f4
0.786921, 1f04, 1fd9
0.789985, 1e6d, 260f
0.793187, 1de2, 2721
0.796290, 1d52, 2bf7
0.797748, 1cc7, 2ff1
0.801017, 1c36, 30cd
0.807177, 1bfc, 3594
0.811867, 1b5d, 3597
0.816588, 1bd2, 36a2
0.821283, 1bae, 36d6
0.825890, 1b7b, 3707
0.827442, 1af3, 3737
0.832171, 1af4, 3766
0.836854, 1b21, 3787
0.841546, 1b51, 379b
0.846242, 1b38, 37be
0.850979, 1a85, 37f0
0.855552, 1b03, 37f2
0.856534, 1af6, 3807
0.861861, 1b25, 380d
0.866546, 1baa, 37fe
0.871200, 1bd4, 37fd
