0.000054, 31c1, 3257
0.002863, 31ae, 32f9
0.008078, 31b9, 3304
0.011138, 31aa, 321b
0.014150, 31ce, 3303
0.017062, 31a2, 328a
0.018405, 31c2, 32ed
0.025502, 31ce, 3310
0.028590, 31b4, 32f4
0.031554, 31a4, 32a4
0.034410, 319f, 31c3
0.037191, 319b, 326a
0.038321, 3178, 3270
0.041391, 31b4, 32d1
0.045059, 31b4, 331e
0.046621, 31a3, 3195
0.049854, 31af, 32d1
0.060099, 3164, 3079
0.062761, 31ae, 32c0
0.064618, 31ab, 322e
0.066829, 3194, 323d
0.068406, 31a2, 3226
0.071840, 31bc, 32d3
0.075305, 31ac, 32fc
0.078760, 319e, 3294
0.082799, 31ab, 32fd
0.085649, 31b7, 32ff
0.088972, 31ab, 3304
0.101270, 3197, 31de
0.104348, 31bc, 3259
0.105858, 31c4, 3352
0.109043, 31ad, 3305
0.112188, 31b3, 3318
0.113323, 31b4, 3208
0.118422, 3187, 323e
0.121696, 31ae, 32c3
0.126428, 31aa, 330a
0.131055, 31a3, 3163
0.135711, 31ba, 32a8
0.140361, 31b4, 3292
0.143501, 31ae, 32de
0.148188, 31c0, 3368
0.151271, 31c9, 3310
0.156023, 31be, 32fe
0.160042, 31ae, 323c
0.165391, 31b8, 32fc
0.167834, 31ce, 3327
0.173168, 31a0, 318a
0.176318, 317b, 3162
0.180984, 31ba, 32cf
0.185693, 3174, 318c
0.190370, 3180, 31f5
0.195026, 3189, 32a8
0.198103, 31a0, 3249
0.201298, 3170, 3212
0.205992, 319a, 3213
0.210705, 31c5, 32d1
0.212259, 31b9, 32fa
0.216871, 31ac, 3167
0.221628, 3192, 321c
0.226350, 31a0, 3277
0.230956, 31ae, 331d
0.234030, 31aa, 3328
0.237240, 31ae, 330b
0.241912, 31b7, 32f6
0.246613, 31b1, 3316
0.250709, 31a5, 32d0
0.254411, 31a4, 31d7
0.257518, 31c1, 32d3
0.262220, 31ba, 3253
0.266857, 31c2, 32fe
0.268391, 31c2, 32b2
0.273215, 31a1, 3276
0.277822, 31c0, 3323
0.282517, 319a, 314e
0.284041, 317d, 2ff6
0.288770, 31aa, 32dd
0.293483, 31ac, 317d
0.298160, 319a, 32a9
0.301293, 317d, 32c0
0.304402, 31aa, 32ce
0.309079, 319e, 31eb
0.313772, 31a1, 3127
0.318408, 31b4, 32c4
0.321612, 31a3, 328a
0.326259, 31b0, 30fd
0.330937, 31d1, 3311
0.335588, 3190, 30f0
0.340274, 31a7, 325a
0.343371, 31c7, 3341
0.346529, 315b, 3130
0.351188, 318f, 322a
0.355921, 31a2, 32c6
0.359049, 31b0, 32c0
0.363719, 316b, 3127
0.366840, 31b7, 32c2
0.373262, 31ab, 32f5
0.377849, 3196, 311e
0.382458, 31ab, 3277
0.383540, 31b0, 32d0
0.388695, 31ad, 32d5
0.393424, 31a6, 32af
0.398046, 31a9, 32d4
0.401208, 31b0, 32ef
0.405882, 31bd, 3340
0.408993, 31b3, 32e9
0.413710, 3197, 31bb
0.418357, 31a4, 32b9
0.421485, 31b7, 32e6
0.424634, 31b7, 3337
0.429324, 3192, 31bf
0.433974, 31a9, 32f5
0.438700, 31a3, 329d
0.440272, 31d0, 3328
0.444970, 319d, 31c0
0.449629, 31b9, 32b8
0.454369, 31a1, 3170
0.458917, 31da, 3322
0.463665, 31a7, 3319
0.465304, 31b2, 32dc
0.470065, 31c4, 3339
0.474727, 31ae, 3262
0.479361, 319e, 3289
0.483950, 31aa, 32b5
0.485586, 319b, 3240
0.490330, 31b6, 329b
0.494966, 31aa, 31c4
0.498098, 31b8, 32d9
0.502776, 31c5, 332b
0.507481, 31b8, 32e4
0.512222, 31b4, 32ce
0.515238, 31a1, 328c
0.518369, 31a8, 3309
0.523100, 31bc, 335a
0.527782, 31bc, 3295
0.529293, 319f, 326c
0.532451, 3171, 3132
0.535590, 3188, 3162
0.538703, 31b5, 32fe
0.540232, 3195, 32d8
0.543379, 31b0, 3317
0.546581, 31a4, 32aa
0.548053, 31b1, 32d9
0.551162, 31c8, 3359
0.552754, 31a2, 32b4
0.555888, 31b7, 32f6
0.559013, 3199, 3296
0.562247, 31a4, 3306
0.565267, 31b4, 32f8
0.568293, 31ae, 333d
0.569462, 319d, 3214
0.572573, 319d, 326f
0.575640, 31a3, 32cf
0.579335, 31c3, 330d
0.582441, 31b4, 3330
0.583840, 3186, 31dc
0.587201, 3175, 318e
0.590215, 3173, 31f5
0.591693, 31ab, 32e8
0.594944, 31af, 32f5
0.598079, 31a1, 333a
0.599567, 31c0, 32c7
0.602759, 31b8, 3314
0.605879, 319d, 32a4
0.607387, 31a4, 32c7
0.610611, 31b0, 32cb
0.613683, 31a8, 3280
0.616710, 31a1, 3305
0.617810, 31b1, 3316
0.621489, 31cd, 3319
0.623018, 31bc, 3301
0.626247, 31ba, 3315
0.629313, 31c2, 32dc
0.632424, 31c6, 32de
0.633993, 31b5, 3317
0.637177, 31a2, 32c5
0.640379, 31c2, 32e4
0.643369, 31a9, 320c
